currency_code,display_name,distance,duration,estimate,high_estimate,localized_display_name,low_estimate,minimum,product_id,surge_multiplier,lat,lng,time
USD,uberWAV,0.0,0,$8-9,9.0,uberWAV,8.0,9.0,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,1.0,37.803337,-122.507491,2016-04-18 17:13:12.538691
,uberTAXI,0.0,0,Metered,,uberTAXI,,,3ab64887-4842-4c8e-9780-ccecd3a0391d,1.0,37.803337,-122.507491,2016-04-18 17:13:12.538691
USD,uberX,0.0,0,$6-7,7.0,uberX,6.0,7.0,a1111c8c-c720-46c3-8534-2fcdd730040d,1.0,37.734883,-122.498270357,2016-04-18 17:13:13.427392
USD,uberXL,0.0,0,$18-19,19.0,uberXL,18.0,18.0,821415d8-3bd5-4e27-9604-194e4359a449,2.4,37.734883,-122.498270357,2016-04-18 17:13:13.427392
USD,uberSELECT,0.0,0,$18-19,19.0,uberSELECT,18.0,19.0,57c0ff4e-1493-4ef9-a4df-6b961525cf92,1.9,37.734883,-122.498270357,2016-04-18 17:13:13.427392
USD,UberBLACK,0.0,0,$15,15.0,UberBLACK,15.0,15.0,d4abaae7-f4d6-4152-91cc-77523e8165a4,1.0,37.734883,-122.498270357,2016-04-18 17:13:13.427392
USD,UberSUV,0.0,0,$25,25.0,UberSUV,25.0,25.0,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,1.0,37.734883,-122.498270357,2016-04-18 17:13:13.427392
USD,ASSIST,0.0,0,$6-7,7.0,ASSIST,6.0,7.0,ff5ed8fe-6585-4803-be13-3ca541235de3,1.0,37.734883,-122.498270357,2016-04-18 17:13:13.427392
USD,uberWAV,0.0,0,$8-9,9.0,uberWAV,8.0,9.0,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,1.0,37.734883,-122.498270357,2016-04-18 17:13:13.427392
,uberTAXI,0.0,0,Metered,,uberTAXI,,,3ab64887-4842-4c8e-9780-ccecd3a0391d,1.0,37.734883,-122.498270357,2016-04-18 17:13:13.427392
USD,uberX,0.0,0,$6-7,7.0,uberX,6.0,7.0,a1111c8c-c720-46c3-8534-2fcdd730040d,1.0,37.7397725714,-122.498270357,2016-04-18 17:13:14.889648
USD,uberXL,0.0,0,$18-19,19.0,uberXL,18.0,18.0,821415d8-3bd5-4e27-9604-194e4359a449,2.4,37.7397725714,-122.498270357,2016-04-18 17:13:14.889648
USD,uberSELECT,0.0,0,$18-19,19.0,uberSELECT,18.0,19.0,57c0ff4e-1493-4ef9-a4df-6b961525cf92,1.9,37.7397725714,-122.498270357,2016-04-18 17:13:14.889648
USD,UberBLACK,0.0,0,$15,15.0,UberBLACK,15.0,15.0,d4abaae7-f4d6-4152-91cc-77523e8165a4,1.0,37.7397725714,-122.498270357,2016-04-18 17:13:14.889648
USD,UberSUV,0.0,0,$25,25.0,UberSUV,25.0,25.0,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,1.0,37.7397725714,-122.498270357,2016-04-18 17:13:14.889648
USD,ASSIST,0.0,0,$6-7,7.0,ASSIST,6.0,7.0,ff5ed8fe-6585-4803-be13-3ca541235de3,1.0,37.7397725714,-122.498270357,2016-04-18 17:13:14.889648
USD,uberWAV,0.0,0,$8-9,9.0,uberWAV,8.0,9.0,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,1.0,37.7397725714,-122.498270357,2016-04-18 17:13:14.889648
,uberTAXI,0.0,0,Metered,,uberTAXI,,,3ab64887-4842-4c8e-9780-ccecd3a0391d,1.0,37.7397725714,-122.498270357,2016-04-18 17:13:14.889648
USD,uberX,0.0,0,$6-7,7.0,uberX,6.0,7.0,a1111c8c-c720-46c3-8534-2fcdd730040d,1.0,37.7446621429,-122.498270357,2016-04-18 17:13:15.620910
USD,uberXL,0.0,0,$18-19,19.0,uberXL,18.0,18.0,821415d8-3bd5-4e27-9604-194e4359a449,2.4,37.7446621429,-122.498270357,2016-04-18 17:13:15.620910
USD,uberSELECT,0.0,0,$18-19,19.0,uberSELECT,18.0,19.0,57c0ff4e-1493-4ef9-a4df-6b961525cf92,1.9,37.7446621429,-122.498270357,2016-04-18 17:13:15.620910
USD,UberBLACK,0.0,0,$15,15.0,UberBLACK,15.0,15.0,d4abaae7-f4d6-4152-91cc-77523e8165a4,1.0,37.7446621429,-122.498270357,2016-04-18 17:13:15.620910
USD,UberSUV,0.0,0,$25,25.0,UberSUV,25.0,25.0,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,1.0,37.7446621429,-122.498270357,2016-04-18 17:13:15.620910
USD,ASSIST,0.0,0,$6-7,7.0,ASSIST,6.0,7.0,ff5ed8fe-6585-4803-be13-3ca541235de3,1.0,37.7446621429,-122.498270357,2016-04-18 17:13:15.620910
USD,uberWAV,0.0,0,$8-9,9.0,uberWAV,8.0,9.0,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,1.0,37.7446621429,-122.498270357,2016-04-18 17:13:15.620910
